State,Year,Migrant Population
New South Wales,2016,2326440
Victoria,2016,1892540
Queensland,2016,1140040
South Australia,2016,418830
Western Australia,2016,895380
Tasmania,2016,67850
Northern Territory,2016,55420
Australian Capital Territory,2016,113510
New South Wales,2011,2043130
Victoria,2011,1589750
Queensland,2011,1005300
South Australia,2011,388900
Western Australia,2011,786510
Tasmania,2011,64190
Northern Territory,2011,43610
Australian Capital Territory,2011,95990
New South Wales,2006,1787330
Victoria,2006,1331790
Queensland,2006,789880
South Australia,2006,339920
Western Australia,2006,613880
Tasmania,2006,56250
Northern Territory,2006,32750
Australian Capital Territory,2006,79070
New South Wales,2001,1616960
Victoria,2001,1168940
Queensland,2001,643770
South Australia,2001,318650
Western Australia,2001,545000
Tasmania,2001,51200
Northern Territory,2001,32550
Australian Capital Territory,2001,73630
New South Wales,1996,1543680
Victoria,1996,1154820
Queensland,1996,620600
South Australia,1996,308010
Western Australia,1996,431390
Tasmania,1996,70450
Northern Territory,1996,37680
Australian Capital Territory,1996,72790
